id,date,round,hteam,ateam,hscore,ascore,venue,winner,complete,margin
35724,2024-03-30 16:20:00,3,Essendon,St Kilda,71,67,Docklands,Essendon,100,4
35725,2024-03-30 19:30:00,3,Port Adelaide,Melbourne,89,96,Adelaide Oval,Melbourne,100,-7
35726,2024-03-31 13:00:00,3,Western Bulldogs,West Coast,106,30,Docklands,Western Bulldogs,100,76
35727,2024-03-31 16:00:00,3,Richmond,Sydney,82,77,M.C.G.,Richmond,100,5
35728,2024-04-01 15:20:00,3,Hawthorn,Geelong,70,106,M.C.G.,Geelong,100,-36
35729,2024-04-04 19:40:00,4,Adelaide,Melbourne,63,78,Adelaide Oval,Melbourne,100,-15
35730,2024-04-05 17:10:00,4,Brisbane Lions,North Melbourne,112,42,Norwood Oval,Brisbane Lions,100,70
35731,2024-04-05 20:10:00,4,Port Adelaide,Essendon,111,42,Adelaide Oval,Port Adelaide,100,69
35732,2024-04-06 13:30:00,4,West Coast,Sydney,78,104,Adelaide Hills,Sydney,100,-26
35733,2024-04-06 16:20:00,4,Fremantle,Carlton,63,73,Adelaide Oval,Carlton,100,-10
35734,2024-04-06 20:10:00,4,Western Bulldogs,Geelong,91,95,Adelaide Oval,Geelong,100,-4
35735,2024-04-07 12:30:00,4,Gold Coast,Greater Western Sydney,89,117,Adelaide Hills,Greater Western Sydney,100,-28
35736,2024-04-07 15:20:00,4,Richmond,St Kilda,60,67,Norwood Oval,St Kilda,100,-7
35737,2024-04-07 17:10:00,4,Collingwood,Hawthorn,77,72,Adelaide Oval,Collingwood,100,5
35738,2024-04-11 19:30:00,5,Melbourne,Brisbane Lions,60,82,M.C.G.,Brisbane Lions,100,-22
35739,2024-04-12 19:40:00,5,Western Bulldogs,Essendon,67,96,Docklands,Essendon,100,-29
35740,2024-04-13 13:45:00,5,Greater Western Sydney,St Kilda,80,79,Manuka Oval,Greater Western Sydney,100,1
35741,2024-04-13 16:35:00,5,Carlton,Adelaide,98,100,Docklands,Adelaide,100,-2
35742,2024-04-13 19:30:00,5,Gold Coast,Hawthorn,109,56,Carrara,Gold Coast,100,53
